City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Naze,JP,86.92,few clouds,28.3667,129.4833,Shishime Hotel
5,Tautira,PF,78.01,light rain,-17.7333,-149.15,Pension Oaoa
10,Shu,KZ,80.01,clear sky,43.5983,73.7614,Shyngyzkhan
14,Tateyama,JP,81.0,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
18,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
19,Rikitea,PF,75.4,scattered clouds,-23.1203,-134.9692,People ThankYou
26,Martapura,ID,80.69,clear sky,-3.4167,114.85,Montana Hotel Syariah
27,Jonesboro,US,89.42,clear sky,35.8423,-90.7043,Hilton Garden Inn Jonesboro
32,Salvador,SV,75.06,broken clouds,13.8333,-88.9167,Chico's Ranch
36,Elizabeth City,US,84.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
37,Dingle,PH,83.32,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
41,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
46,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Atuona,PF,76.53,clear sky,-9.8,-139.0333,Villa Enata
50,Biak,ID,79.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
54,Kulhudhuffushi,MV,80.91,broken clouds,6.6221,73.07,Haajy Guest House 1
57,Bahia Honda,CU,79.5,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
65,Lahaina,US,89.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
68,Pafos,CY,76.78,clear sky,34.7667,32.4167,Elysium Hotel
74,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
75,Manaure,CO,81.27,overcast clouds,11.7751,-72.4445,Hotel Palaaima
89,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
92,Yueyang,CN,87.78,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
94,Tawau,MY,80.73,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
95,Kui Buri,TH,81.73,few clouds,12.0828,99.8543,Rista House & Resort
97,Cabo San Lucas,MX,88.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,Scoop Guest House
104,Hirara,JP,89.87,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
107,Coahuayana,MX,82.92,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
108,Mareeba,AU,75.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
111,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
112,Namatanai,PG,84.83,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
113,Tual,ID,79.9,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
116,Vaitape,PF,78.31,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
117,Khatassy,RU,75.18,broken clouds,61.9036,129.6383,"Ulitsa Skhpk,, Khatasskiy,, Dom 20076K"
122,El Vigia,VE,78.48,scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
123,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
126,Panama City,PA,79.45,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
128,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
134,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
136,Smyrna,US,86.65,broken clouds,33.884,-84.5144,Wingate by Wyndham Atlanta Galleria/Ballpark
137,Noumea,NC,77.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
140,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
142,Salalah,OM,75.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
144,Gushi,CN,82.04,overcast clouds,34.6425,109.5843,Wansheng Yuan Hotel
147,Fuxin,CN,80.51,overcast clouds,42.0156,121.6589,Xinya International Hotel
150,Acarau,BR,79.9,overcast clouds,-2.8856,-40.12,castelo pizzaria
153,Hami,CN,87.35,overcast clouds,42.8,93.45,Laoyutang Resort
156,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
158,Faanui,PF,78.35,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Ugoofaaru,MV,81.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
167,Bajil,YE,83.61,overcast clouds,15.0584,43.2851,فندق حضرموت
170,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
173,Tebingtinggi,ID,76.68,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
175,Butaritari,KI,82.53,few clouds,3.0707,172.7902,Isles Sunset Lodge
179,Sur,OM,86.79,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
182,Rosetta,EG,77.02,clear sky,31.4044,30.4164,Green Valley
185,Kirakira,SB,85.95,clear sky,-10.4544,161.9205,SanBiz Lodge
187,Nantucket,US,80.71,mist,41.2835,-70.0995,Jared Coffin House
190,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
201,Kendari,ID,80.06,scattered clouds,-3.945,122.4989,Hotel Wixel
205,Bethel,US,84.29,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
206,Seoul,KR,83.77,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
210,Tarakan,ID,79.83,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
213,Sao Filipe,CV,78.31,light rain,14.8961,-24.4956,Hotel Xaguate
214,Chifeng,CN,77.4,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
218,Sorong,ID,80.94,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
219,Ambon,ID,79.59,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
224,Jiayuguan,CN,77.65,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
225,Ahmadpur East,PK,84.6,overcast clouds,29.1431,71.2598,Irfan fabrics
236,Fort Myers Beach,US,82.99,clear sky,26.452,-81.9481,Lani Kai Island Resort
238,Bani,DO,76.86,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
243,Iranshahr,IR,87.85,overcast clouds,27.2025,60.6848,نیک سرشت
249,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
254,Xinmin,CN,77.94,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
259,Taloqan,AF,84.65,clear sky,36.7361,69.5345,Saraisang street
260,Dhidhdhoo,MV,81.03,scattered clouds,6.8833,73.1,Dhidhoo beach
264,Nakhon Phanom,TH,87.48,clear sky,17.3333,104.4167,ป่ายางรีสอร์ท
266,Darnah,LY,79.09,clear sky,32.767,22.6367,فندق الفردوس
270,Panuco,MX,84.38,overcast clouds,22.05,-98.1667,Hotel Plaza
272,Arthur,US,79.93,scattered clouds,39.7148,-88.4723,Arthur's Country Inn
273,Vanimo,PG,83.93,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
274,Sibolga,ID,77.34,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
275,Jining,CN,83.66,broken clouds,35.405,116.5814,Yunhe Star Hotel
276,Dalnegorsk,RU,78.78,broken clouds,44.5604,135.5701,Dalnegorsk
277,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
278,Luoyang,CN,85.1,clear sky,34.6836,112.4536,易家国际青年旅舍
279,Mirganj,IN,84.87,overcast clouds,28.55,79.2,shree balaji automobiles meerganj
280,Lewisburg,US,86.45,overcast clouds,35.4492,-86.7889,Celebration Inn
283,Shingu,JP,84.4,broken clouds,33.7333,135.9833,Shingu UI Hotel
285,Ponta Do Sol,PT,83.12,clear sky,32.6667,-17.1,Hotel do Campo
289,Morehead,US,83.95,clear sky,37.2711,-87.1764,CCI Express Inn
