City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,74.73,87,99,6.51,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,75,9.22,broken clouds
2,Usinsk,RU,65.9939,57.5281,49.75,77,100,10.76,overcast clouds
3,Naze,JP,28.3667,129.4833,86.92,75,16,0.6,few clouds
4,Dikson,RU,73.5069,80.5464,46.9,97,100,11.54,light rain
5,Tautira,PF,-17.7333,-149.15,78.01,80,14,16.4,light rain
6,Punta Arenas,CL,-53.15,-70.9167,33.91,80,0,8.05,clear sky
7,Chitrakonda,IN,18.1167,82.0833,72.77,93,100,0.49,overcast clouds
8,Saint George,US,37.1041,-113.5841,97.39,30,0,10.36,clear sky
9,Aklavik,CA,68.2191,-135.0107,62.29,50,28,6.04,scattered clouds
10,Shu,KZ,43.5983,73.7614,80.01,24,0,7.16,clear sky
11,Dumas,US,35.8656,-101.9732,95.14,20,0,12.66,clear sky
12,Eureka,US,40.8021,-124.1637,65.19,74,61,3.0,broken clouds
13,Barrow,US,71.2906,-156.7887,42.82,87,100,11.5,overcast clouds
14,Tateyama,JP,34.9833,139.8667,81.0,84,100,9.69,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,35.26,60,0,5.75,clear sky
16,Taunggyi,MM,20.7833,97.0333,66.45,90,8,1.05,clear sky
17,Busselton,AU,-33.65,115.3333,59.63,70,89,17.38,overcast clouds
18,Hilo,US,19.7297,-155.09,88.29,66,0,9.22,clear sky
19,Rikitea,PF,-23.1203,-134.9692,75.4,80,33,15.75,scattered clouds
20,Norman Wells,CA,65.282,-126.8329,68.04,49,75,4.61,broken clouds
21,Mataura,NZ,-46.1927,168.8643,42.48,76,51,4.32,broken clouds
22,Nikolskoye,RU,59.7035,30.7861,62.49,97,72,3.44,broken clouds
23,Hermanus,ZA,-34.4187,19.2345,49.42,83,0,11.18,clear sky
24,Beringovskiy,RU,63.05,179.3167,45.41,76,100,13.2,overcast clouds
25,Lebu,CL,-37.6167,-73.65,53.78,91,100,16.71,heavy intensity rain
26,Martapura,ID,-3.4167,114.85,80.69,74,0,2.3,clear sky
27,Jonesboro,US,35.8423,-90.7043,89.42,59,0,10.36,clear sky
28,Ilulissat,GL,69.2167,-51.1,37.67,95,97,2.19,overcast clouds
29,Provideniya,RU,64.3833,-173.3,46.51,76,75,4.47,broken clouds
30,Ust-Kuyga,RU,70.0167,135.6,73.35,53,42,2.98,scattered clouds
31,Margate,GB,51.3813,1.3862,66.9,81,100,4.0,overcast clouds
32,Salvador,SV,13.8333,-88.9167,75.06,92,72,1.95,broken clouds
33,Castro,BR,-24.7911,-50.0119,58.86,73,100,2.91,overcast clouds
34,Kasli,RU,55.8909,60.7616,63.03,84,9,2.86,clear sky
35,Saskylakh,RU,71.9167,114.0833,71.19,56,15,11.03,few clouds
36,Elizabeth City,US,36.2946,-76.2511,84.22,83,0,10.36,clear sky
37,Dingle,PH,10.9995,122.6711,83.32,78,84,0.83,heavy intensity rain
38,Tiksi,RU,71.6872,128.8694,48.92,72,55,3.78,broken clouds
39,Tasiilaq,GL,65.6145,-37.6368,41.16,83,87,3.47,overcast clouds
40,Bredasdorp,ZA,-34.5322,20.0403,46.38,88,0,6.62,clear sky
41,Acapulco,MX,16.8634,-99.8901,85.82,70,75,4.61,broken clouds
42,Verkhoyansk,RU,67.5447,133.385,71.56,55,0,2.19,clear sky
43,East London,ZA,-33.0153,27.9116,59.32,54,100,6.49,overcast clouds
44,Lure,FR,47.75,6.5,65.57,77,0,3.44,clear sky
45,Clyde River,CA,70.4692,-68.5914,43.03,100,100,6.91,overcast clouds
46,Vaini,TO,-21.2,-175.2,77.16,78,20,8.05,few clouds
47,Iqaluit,CA,63.7506,-68.5145,44.33,93,40,3.44,scattered clouds
48,Atuona,PF,-9.8,-139.0333,76.53,62,1,12.95,clear sky
49,Kitgum,UG,3.2783,32.8867,63.99,95,56,3.02,broken clouds
50,Biak,ID,-0.9131,122.8766,79.65,69,97,6.85,overcast clouds
51,Nanortalik,GL,60.1432,-45.2371,46.69,84,100,1.3,light rain
52,Bluff,NZ,-46.6,168.3333,41.81,78,15,10.87,few clouds
53,Svetlyy,RU,54.675,20.1347,57.25,84,95,5.86,overcast clouds
54,Kulhudhuffushi,MV,6.6221,73.07,80.91,79,74,9.17,broken clouds
55,Gannan,CN,47.9147,123.5031,74.43,71,100,5.55,overcast clouds
56,Ahipara,NZ,-35.1667,173.1667,62.49,96,100,19.33,overcast clouds
